,E1,#Tecido E1,E2/C1,E1/C1,#Tecido E2,E2
0,+OP4,-0.0,,,-0.0,
1,OP4,-0.0,,,-0.0,
2,OP4,-0.0,,,-0.0,
3,OP4,-0.0,,,-0.0,
4,OP4,-0.0,,,-0.0,
5,OP4,-0.0,,,-0.0,
6,OP4,-0.0,,,-0.0,
7,-OP4,-0.0,,,-0.0,
8,+OP6,4.0,,+OP4,-0.0,
9,OP6,4.0,,OP4,0.0,
10,OP6,4.0,,OP4,0.0,
11,OP6,4.0,,OP4,0.0,
12,OP6,4.0,,OP4,0.0,
13,OP6,4.0,,OP4,0.0,
14,OP6,4.0,,OP4,0.0,
15,OP6,4.0,,OP4,0.0,
16,OP6,4.0,,OP4,0.0,
17,OP6,4.0,,-OP4,0.0,
18,-OP6,0.0,,,0.0,
19,,6.0,,+OP6,0.0,
20,+OP7,6.0,,OP6,0.0,
21,OP7,6.0,,OP6,0.0,
22,OP7,6.0,,OP6,0.0,
23,OP7,6.0,,OP6,0.0,
24,OP7,6.0,,OP6,0.0,
25,OP7,6.0,,OP6,0.0,
26,OP7,6.0,,OP6,0.0,
27,OP7,6.0,,OP6,0.0,
28,OP7,6.0,,OP6,0.0,
29,OP7,6.0,,OP6,0.0,
30,-OP7,6.0,,OP6,0.0,
31,+OP8,8.0,,-OP6,0.0,
32,OP8,2.0,,+OP7,0.0,
33,OP8,2.0,,OP7,0.0,
34,OP8,2.0,,OP7,0.0,
35,OP8,2.0,,OP7,0.0,
36,OP8,2.0,,OP7,0.0,
37,OP8,2.0,,OP7,0.0,
38,OP8,2.0,,OP7,0.0,
39,OP8,2.0,,OP7,0.0,
40,OP8,2.0,,OP7,0.0,
41,OP8,2.0,,OP7,0.0,
42,OP8,2.0,,OP7,0.0,
43,OP8,2.0,,OP7,0.0,
44,-OP8,2.0,,-OP7,0.0,
45,,2.0,,+OP8,0.0,
46,,2.0,,OP8,0.0,
47,,2.0,,OP8,0.0,
48,,2.0,,OP8,0.0,
49,,2.0,,OP8,0.0,
50,,2.0,,OP8,0.0,
51,,2.0,,OP8,0.0,
52,,2.0,,OP8,0.0,
53,,2.0,,OP8,0.0,
54,,2.0,,OP8,0.0,
55,,2.0,,OP8,0.0,
56,,2.0,,OP8,0.0,
57,,2.0,,OP8,0.0,
58,,2.0,,OP8,0.0,
59,,2.0,,OP8,0.0,
60,,2.0,,-OP8,0.0,
61,,0.0,,,0.0,
62,,0.0,,,0.0,
63,,0.0,,,0.0,
64,,0.0,,,0.0,
65,,0.0,,,0.0,
66,,0.0,,,0.0,
67,,0.0,,,0.0,
68,,0.0,,,0.0,
69,,0.0,,,0.0,
70,,0.0,,,0.0,
71,,0.0,,,0.0,
72,,0.0,,,0.0,
73,,0.0,,,0.0,
74,,0.0,,,0.0,
75,,0.0,,,0.0,
76,,0.0,,,0.0,
77,,0.0,,,0.0,
78,,0.0,,,0.0,
79,,0.0,,,0.0,
